Region,Forest Percentage(1990),Forest Percentage(2000),Forest Percentage(2010),Forest Percentage(2015),Forest Percentage(2020),Total Area(Sq.Km.)
Kyrgyzstan,5.92502606882169,6.156934306569344,6.411261730969761,6.526642335766423,6.858081334723671,191800.0
Lao People's Democratic Republic,77.30935875216637,75.49826689774697,73.39904679376083,72.65164644714038,71.90424610051993,230800.0
Latvia,51.02926986169186,52.12286908973947,54.23158571888067,54.5422965583789,54.8534898681248,62180.0
Lebanon,13.655913978494622,13.50733137829912,13.42619745845552,13.717497556207233,14.010752688172042,10230.0
Lesotho,1.1370223978919631,1.1370223978919631,1.1370223978919631,1.1370223978919631,1.1370223978919631,30360.0
Liberia,88.50955149501661,85.36794019933555,82.22632890365449,80.65552325581396,79.08471760797342,96320.0
Libya,0.12332768791843322,0.12332768791843322,0.12332768791843322,0.12332768791843322,0.12332768791843322,1759540.0
Liechtenstein,40.625,41.875,41.875,41.875,41.875,160.0
Lithuania,31.045490822027134,32.24261771747805,34.63687150837989,34.90822027134876,35.1316839584996,62650.0
Luxembourg,35.30864197530864,35.67901234567901,36.50205761316872,36.50205761316872,36.50205761316872,2430.0
Madagascar,23.53635269852183,22.397163973874186,21.59157786180818,21.47798212444139,21.36440357511172,581800.0
Malawi,37.14149342384387,32.686677980483665,28.231862537123458,26.004454815443356,23.777047093763258,94280.0
Malaysia,62.75604930756353,59.93410439811292,57.6705219905646,59.24279409526708,58.176959366915234,328550.0
Maldives,2.733333333333333,2.733333333333333,2.733333333333333,2.733333333333333,2.733333333333333,300.0
Mali,10.896663634352027,10.896663634352027,10.896663634352027,10.896663634352027,10.896663634352027,1220190.0
Malta,1.09375,1.09375,1.09375,1.09375,1.4375,320.0
Marshall Islands,52.22222222222223,52.22222222222223,52.22222222222223,52.22222222222223,52.22222222222223,180.0
Martinique,45.132075471698116,45.9811320754717,47.44339622641509,48.386792452830186,49.33018867924528,1060.0
Mauritania,0.4618608712525468,0.4090812069467352,0.3563015426409237,0.3299117104880179,0.30348306975841666,1030700.0
Mauritius,20.23152709359606,20.655172413793103,18.911330049261085,18.866995073891623,19.098522167487687,2030.0
Mayotte,51.62162162162163,42.351351351351354,38.94594594594595,38.21621621621622,37.54054054054054,370.0
Mexico,36.31351114997813,35.17649630906145,34.436744772242086,34.121716093520924,33.79309138609532,1943950.0
Micronesia (Federated States of),90.82857142857142,91.22857142857143,91.6142857142857,91.8142857142857,92.02857142857142,700.0
Monaco,,,,,,0.0
Mongolia,9.23813692422565,9.181428461082932,9.129933829398285,9.126348515667242,9.122776075594121,1553560.0
Montenegro,46.54275092936803,46.54275092936803,61.486988847583646,61.486988847583646,61.486988847583646,13450.0
Montserrat,35.0,25.0,25.0,25.0,25.0,100.0
Morocco,12.290589289715438,12.33820300246471,12.714698633206362,12.737373963701545,12.866883262379563,446300.0
Mozambique,55.16162669447341,52.37671354815738,49.558915537017725,48.246394872707846,46.72519646990005,786380.0
Myanmar,60.05157101733326,53.39025846756906,48.14264714889447,45.92460341765174,43.706574998468795,653080.0
Namibia,10.651374363832915,9.7888714790657,8.926368594298486,8.495123225109014,8.063865709531271,823290.0
Nauru,0.0,0.0,0.0,0.0,0.0,20.0
Nepal,39.56749215207534,40.32619462853157,41.590722009068706,41.590722009068706,41.590722009068706,143350.0
Netherlands,10.250222617987532,10.670822202433957,11.0857821311962,10.829029385574355,10.967646185811814,33690.0
New Caledonia,45.46663019693654,45.834245076586434,45.89824945295405,45.87089715536105,45.84354485776805,18280.0
New Zealand,35.59405263757549,37.41004899168281,37.40123808438723,37.39550339903536,37.57012646690213,263310.0
Nicaragua,53.17699850423799,44.867209572876845,34.80264251288017,32.470749542961606,28.31585507728104,120340.0
Niger,1.5354859082655719,1.0484724086208257,0.9504223573063868,0.9013973316491671,0.8523723059919476,1266700.0
Nigeria,29.124905299911063,27.33186205079219,25.53880782195285,24.64228070753319,23.74578653227489,910770.0
Niue,72.8076923076923,72.4230769230769,72.1923076923077,72.38461538461539,72.57692307692308,260.0
Norfolk Island,12.25,12.25,12.25,12.25,12.25,40.0
North Macedonia,36.161776367961934,37.967882632831085,38.08207771609833,39.42902458366376,39.7101506740682,25220.0
Northern Mariana Islands,73.06521739130434,69.47826086956522,65.91304347826087,64.1086956521739,52.95652173913044,460.0
Norway,39.89083615559136,39.828362871140634,39.79219412751126,39.920428764015384,40.048663400519516,304130.0
Oman,0.009693053311793215,0.009693053311793215,0.009693053311793215,0.009693053311793215,0.008077544426494346,309500.0
Pakistan,6.468957555002075,5.852091116645911,5.310463366542133,5.101442507264425,4.833307388958074,770880.0
Palau,82.93478260869564,86.04347826086956,88.17391304347827,89.10869565217392,90.02173913043478,460.0
Panama,61.9774011299435,59.754371805219265,58.21885929513048,57.451035781544256,56.6833467850417,74340.0
